id,keywords,pub_date,web_url,document_type,news_desk,section_name,subsection_name,type_of_material
nyt://article/9b1152dd-a801-530d-adfe-360dd2c37308,"[('persons', ""d'Ormesson, Jean (1925-2017)""), ('organizations', 'ACADEMIE FRANCAISE'), ('subject', 'Writing and Writers'), ('subject', 'Books and Literature'), ('subject', 'French Language'), ('subject', 'Deaths (Obituaries)')]",2017-12-06T22:09:07+0000,https://www.nytimes.com/2017/12/06/obituaries/jean-d-ormesson-dead-french-novelist-philosopher.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/f86c1fe8-cccb-5d7b-b1b7-d6e26efd494f,"[('persons', 'Keeler, Christine'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Politics and Government'), ('glocations', 'Great Britain'), ('persons', 'Profumo, John')]",2017-12-06T00:29:44+0000,https://www.nytimes.com/2017/12/05/obituaries/christine-keeler-75-central-figure-in-a-british-scandal-dies.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/173c5db5-e782-5d7d-98c5-e6cb0f3d0e8b,"[('persons', 'Michael, King of Romania'), ('glocations', 'Romania'), ('subject', 'World War II (1939-45)'), ('subject', 'Politics and Government'), ('subject', 'Cold War Era'), ('subject', 'Deaths (Obituaries)')]",2017-12-05T13:02:26+0000,https://www.nytimes.com/2017/12/05/obituaries/king-michael-romania-dead.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/71a8048a-f57e-5810-9f4c-ac1e39225f2d,"[('persons', 'Chermayeff, Ivan'), ('subject', 'Logos'), ('subject', 'Design'), ('subject', 'Advertising and Marketing'), ('subject', 'Deaths (Obituaries)')]",2017-12-04T23:35:52+0000,https://www.nytimes.com/2017/12/04/obituaries/ivan-chermayeff-dead-designer-of-familiar-logos.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/7f867933-dc5b-537a-b7a3-8cf1c82cf87d,"[('persons', 'Saleh, Ali Abdullah'), ('glocations', 'Yemen'), ('subject', 'Politics and Government'), ('subject', 'Deaths (Obituaries)')]",2017-12-04T22:37:53+0000,https://www.nytimes.com/2017/12/04/obituaries/ali-saleh-dead.html,article,Foreign,Obituaries,,News
nyt://article/734e9464-34f3-5e19-876f-e9ab177486cd,"[('persons', 'ANDERSON, JOHN B'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Presidential Election of 1980'), ('persons', 'Carter, Jimmy'), ('persons', 'Reagan, Ronald Wilson')]",2017-12-04T20:03:59+0000,https://www.nytimes.com/2017/12/04/us/politics/john-anderson-who-ran-against-reagan-and-carter-in-1980-is-dead-at-95.html,article,Obits,U.S.,Politics,Obituary (Obit)
nyt://article/cf7ab84d-c514-5245-84b3-cce47aeec74b,"[('persons', 'Pitsuwan, Surin (1949-2017)'), ('organizations', 'Assn of Southeast Asian Nations'), ('glocations', 'Far East, South and Southeast Asia and Pacific Areas'), ('subject', 'Politics and Government'), ('subject', 'Deaths (Obituaries)')]",2017-12-04T22:03:38+0000,https://www.nytimes.com/2017/12/04/obituaries/surin-pitsuwan-envoy-and-voice-of-southeast-asia-dies-at-68.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/783e962e-7c52-59f9-8020-8bb89503e6e8,"[('persons', 'Kapoor, Shashi'), ('subject', 'Actors and Actresses'), ('subject', 'Movies'), ('glocations', 'India'), ('subject', 'Deaths (Obituaries)')]",2017-12-04T21:32:22+0000,https://www.nytimes.com/2017/12/04/obituaries/shashi-kapoor-indian-film-star-in-70s-and-80s-dies-at-79.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/e462ab34-1183-5389-aa8c-a10fb1a3cbf5,"[('persons', 'Rolton, Gillian (1956-2017)'), ('subject', 'Horsemanship and Equestrian Events'), ('subject', 'Olympic Games (1996)'), ('subject', 'Deaths (Obituaries)')]",2017-12-04T23:02:08+0000,https://www.nytimes.com/2017/12/04/obituaries/gillian-rolton-australian-who-won-gold-despite-broken-bones-dies-at-61.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/1cc487d2-2eef-5b3c-957f-5fa707a53715,"[('subject', 'Television'), ('creative_works', 'The Walking Dead (TV Program)')]",2017-12-04T03:04:01+0000,https://www.nytimes.com/2017/12/03/arts/television/the-walking-dead-recap-time-for-after.html,article,Culture,Arts,Television,Review
nyt://article/ac66952b-f375-54f1-93e8-76b52e3e8c49,"[('persons', 'Mayer, William R (1925-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Classical Music')]",2017-12-02T20:06:20+0000,https://www.nytimes.com/2017/12/02/obituaries/william-mayer-wide-ranging-composer-dies-at-91.html,article,Culture,Arts,,Obituary (Obit)
nyt://article/12cff8ac-a583-551b-8a9a-b36decc5b878,"[('persons', 'Baker, Norman L (1928-2017)'), ('subject', 'Deaths (Obituaries)'), ('persons', 'Heyerdahl, Thor'), ('subject', 'Sailboats and Sailing'), ('subject', 'Rafts')]",2017-12-01T21:36:10+0000,https://www.nytimes.com/2017/12/01/obituaries/norman-baker-dies-at-89-crossed-the-atlantic-on-a-reed-raft.html,article,Foreign,Obituaries,,Obituary (Obit)
nyt://article/bb13f070-50a2-55f7-a35a-592a03f4c3c9,"[('persons', 'Scully, Vincent J Jr (1920-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'ARCHITECTURE'), ('subject', 'Art'), ('organizations', 'Yale University'), ('subject', 'Historic Buildings and Sites')]",2017-12-01T15:25:35+0000,https://www.nytimes.com/2017/12/01/obituaries/vincent-scully-97-influential-architecture-historian-dies.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/ccbab548-1030-52cb-a610-d5159b2c9ce1,"[('persons', 'Margo, Mitchell S (1947-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Pop and Rock Music'), ('creative_works', 'The Lion Sleeps Tonight (Song)'), ('organizations', 'Tokens (Music Group)')]",2017-12-01T21:35:35+0000,https://www.nytimes.com/2017/12/01/obituaries/mitch-margo-dead.html,article,Obits,Obituaries,,Obituary (Obit)
